Date,BTC,ETH,LTC,XRP
14/09/2019,10369.9,186.0,70.68,70.68
13/09/2019,10362.1,181.25,68.97,68.97
12/09/2019,10420.0,180.99,69.17,69.17
11/09/2019,10160.7,178.47,69.74,69.74
10/09/2019,10094.5,180.06,70.76,70.76
09/09/2019,10314.5,180.89,70.1,70.1
08/09/2019,10408.6,181.61,70.48,70.48
07/09/2019,10483.4,178.25,68.82,68.82
06/09/2019,10311.8,169.15,65.14,65.14
05/09/2019,10574.9,174.0,65.39,65.39
04/09/2019,10584.9,175.02,67.16,67.16
03/09/2019,10614.6,179.12,69.07,69.07
02/09/2019,10389.5,178.84,67.29,67.29
01/09/2019,9764.9,171.38,66.11,66.11
31/08/2019,9604.3,171.92,64.29,64.29
30/08/2019,9578.0,168.25,64.16,64.16
29/08/2019,9484.3,168.82,63.45,63.45
28/08/2019,9716.1,172.81,66.77,66.77
27/08/2019,10177.3,187.07,72.8,72.8
26/08/2019,10364.6,188.35,73.63,73.63
25/08/2019,10134.5,186.72,72.33,72.33
24/08/2019,10140.5,190.96,73.27,73.27
23/08/2019,10406.3,194.36,75.53,75.53
22/08/2019,10107.9,190.45,73.62,73.62
21/08/2019,10125.0,187.27,72.94,72.94
20/08/2019,10759.9,196.44,75.0,75.0
19/08/2019,10921.8,202.27,77.12,77.12
18/08/2019,10326.4,194.57,76.31,76.31
17/08/2019,10211.8,185.63,72.69,72.69
16/08/2019,10362.1,185.5,74.83,74.83
15/08/2019,10304.5,188.06,76.26,76.26
14/08/2019,10018.0,186.2,75.56,75.56
13/08/2019,10857.0,208.6,84.3,84.3
12/08/2019,11384.2,211.2,85.58,85.58
11/08/2019,11526.7,216.28,89.87,89.87
10/08/2019,11284.7,206.05,85.18,85.18
09/08/2019,11857.6,210.3,84.29,84.29
08/08/2019,11982.6,220.85,90.12,90.12
07/08/2019,11962.7,225.97,90.32,90.32
06/08/2019,11458.8,226.1,93.04,93.04
05/08/2019,11799.6,233.0,96.21,96.21
04/08/2019,10972.4,222.9,92.91,92.91
03/08/2019,10809.9,221.82,94.16,94.16
02/08/2019,10531.5,217.8,94.89,94.89
01/08/2019,10408.9,217.38,98.94,98.94
31/07/2019,10090.1,218.68,98.85,98.85
30/07/2019,9594.1,209.8,90.21,90.21
29/07/2019,9499.9,210.69,90.34,90.34
28/07/2019,9531.7,211.07,89.95,89.95
27/07/2019,9471.8,207.11,88.72,88.72
26/07/2019,9852.0,219.24,94.39,94.39
25/07/2019,9878.0,219.16,93.23,93.23
24/07/2019,9769.8,216.51,94.45,94.45
23/07/2019,9840.6,212.05,90.07,90.07
22/07/2019,10323.9,217.27,95.22,95.22
21/07/2019,10595.3,225.47,99.69,99.69
20/07/2019,10774.9,228.87,100.54,100.54
19/07/2019,10535.2,221.45,98.78,98.78
18/07/2019,10636.6,226.3,100.97,100.97
17/07/2019,9703.9,211.5,90.34,90.34
16/07/2019,9420.3,198.67,79.5,79.5
15/07/2019,10840.4,228.13,90.59,90.59
14/07/2019,10621.1,237.11,90.47,90.47
13/07/2019,11381.5,269.18,101.19,101.19
12/07/2019,11798.1,275.48,105.09,105.09
11/07/2019,11343.5,268.49,102.89,102.89
10/07/2019,12096.2,288.46,108.26,108.26
09/07/2019,12570.5,307.95,119.38,119.38
08/07/2019,12298.0,313.67,123.49,123.49
07/07/2019,11480.7,306.47,120.29,120.29
06/07/2019,11233.5,287.65,118.37,118.37
05/07/2019,11006.0,287.6,118.46,118.46
04/07/2019,11148.3,282.57,119.85,119.85
03/07/2019,11979.8,302.1,121.84,121.84
02/07/2019,10837.3,291.24,118.55,118.55
01/07/2019,10575.9,293.51,122.63,122.63
30/06/2019,10752.3,289.5,122.0,122.0
29/06/2019,11865.1,317.0,133.32,133.32
28/06/2019,12360.0,309.79,119.66,119.66
27/06/2019,11148.0,293.68,114.18,114.18
26/06/2019,12933.7,334.51,130.61,130.61
25/06/2019,11765.1,316.88,135.62,135.62
24/06/2019,11020.6,310.44,135.29,135.29
23/06/2019,10814.1,305.99,136.18,136.18
22/06/2019,10663.8,308.54,141.2,141.2
21/06/2019,10219.2,296.08,138.93,138.93
20/06/2019,9534.3,271.99,135.84,135.84
19/06/2019,9277.1,268.91,136.66,136.66
18/06/2019,9080.5,264.65,135.29,135.29
17/06/2019,9335.0,273.74,134.04,134.04
16/06/2019,8976.1,268.58,136.71,136.71
15/06/2019,8856.8,269.44,138.2,138.2
14/06/2019,8694.0,263.83,132.68,132.68
13/06/2019,8237.6,255.15,130.85,130.85
12/06/2019,8171.0,262.5,136.08,136.08
11/06/2019,7921.4,245.17,136.26,136.26
10/06/2019,8019.9,247.82,130.04,130.04
09/06/2019,7642.1,231.25,114.67,114.67
08/06/2019,7928.7,244.48,118.52,118.52
07/06/2019,8000.5,249.5,117.14,117.14
06/06/2019,7804.3,249.29,111.31,111.31
05/06/2019,7787.1,245.88,103.91,103.91
04/06/2019,7670.0,241.13,101.9,101.9
03/06/2019,8120.0,249.83,105.73,105.73
02/06/2019,8742.5,269.27,114.51,114.51
01/06/2019,8549.9,264.86,112.5,112.5
