Trade Date,tech_data,materials_data,consumer_data,financial,healthcare,industrial,services,utilities
2015-03-23,2418.34,1010.91,1005.83,1467.14,1142.22,1007.27,1005.79,749.03
2015-03-24,2401.92,1009.46,1003.07,1458.26,1135.21,1008.52,1006.25,754.25
2015-03-25,2321.08,1009.74,1000.72,1436.69,1117.03,1009.26,1004.36,752.5
2015-03-26,2304.0,995.85,990.23,1434.47,1112.51,996.92,991.16,737.9
2015-03-27,2340.35,986.74,988.59,1430.18,1116.86,990.55,989.41,729.24
2015-03-30,2378.89,987.48,990.96,1445.45,1136.97,988.62,989.42,737.03
2015-03-31,2352.36,975.98,978.38,1439.52,1125.99,982.22,980.81,748.09
2015-04-01,2342.71,976.85,976.83,1437.83,1128.28,981.61,980.02,769.85
2015-04-02,2342.56,979.65,989.89,1446.31,1134.78,992.69,992.55,774.24
2015-04-06,2355.06,992.54,1003.34,1449.94,1155.6,1002.43,1004.54,794.67
2015-04-07,2354.05,998.23,1002.08,1444.19,1132.61,1002.86,1003.38,785.11
2015-04-08,2372.97,996.57,1000.97,1449.46,1132.82,1001.91,1008.73,787.62
2015-04-09,2393.45,993.58,1004.09,1448.11,1106.73,1000.52,1011.57,793.51
2015-04-10,2405.19,997.24,1008.33,1449.24,1105.14,1001.0,1015.44,789.5
2015-04-13,2388.12,985.82,1001.59,1451.53,1098.32,998.93,1008.75,787.22
2015-04-14,2380.41,998.28,1010.26,1453.65,1104.98,1006.93,1015.27,790.28
2015-04-15,2406.37,998.69,1009.04,1459.76,1097.78,1005.68,1009.47,799.45
2015-04-16,2398.38,999.73,1016.19,1463.46,1099.95,1008.77,1010.64,806.66
2015-04-17,2366.25,987.84,1009.61,1446.29,1093.66,998.55,1001.34,795.16
2015-04-20,2394.46,994.06,1006.69,1453.94,1096.45,999.68,998.11,796.8
2015-04-21,2407.74,999.33,1015.17,1447.76,1097.13,1007.05,1007.92,801.83
2015-04-22,2427.2,994.32,1011.86,1457.57,1094.54,1008.82,1003.18,806.04
2015-04-23,2418.66,1001.63,1016.24,1460.9,1097.28,1011.64,1004.67,814.91
2015-04-24,2409.6,1015.04,1024.5,1458.44,1098.47,1017.74,1012.0,828.7
2015-04-27,2408.55,1029.05,1030.99,1454.3,1093.93,1025.07,1018.45,837.33
2015-04-28,2414.18,1031.81,1030.36,1462.63,1093.69,1024.46,1020.4,842.56
2015-04-29,2398.84,1024.65,1022.08,1461.28,1068.35,1019.81,1018.71,836.33
2015-04-30,2370.22,1012.02,1013.13,1446.31,1045.02,1011.86,1004.78,816.74
2015-05-01,2409.84,1015.68,1011.18,1454.37,1049.26,1009.19,999.56,814.55
2015-05-04,2410.85,1022.05,1010.86,1465.92,1045.96,1009.88,1002.2,816.5
2015-05-05,2368.5,1014.37,1002.95,1454.4,1023.54,1004.62,997.49,833.12
2015-05-06,2356.29,1018.84,1008.73,1448.34,1013.4,1010.16,1001.52,844.2
2015-05-07,2373.69,1006.78,1003.13,1455.02,1024.68,1000.33,993.46,837.97
2015-05-08,2394.23,1025.69,1020.63,1473.05,1036.02,1012.97,1009.62,852.53
2015-05-11,2387.7,1028.0,1018.12,1468.78,1018.11,1013.94,1015.11,848.83
2015-05-12,2372.92,1029.05,1014.57,1465.31,1020.04,1013.67,1013.5,844.82
2015-05-13,2385.79,1037.71,1020.84,1465.0,1006.28,1024.03,1021.81,839.8
2015-05-14,2420.23,1040.37,1027.29,1478.56,1023.63,1028.78,1023.08,848.34
2015-05-15,2412.26,1042.53,1030.34,1472.95,1036.28,1032.29,1034.43,858.9
2015-05-18,2425.36,1034.19,1032.51,1478.67,1035.14,1030.06,1030.24,844.8
2015-05-19,2412.82,1020.01,1033.78,1485.39,1034.06,1024.04,1025.21,832.89
2015-05-20,2416.38,1018.04,1034.28,1480.53,1031.76,1023.76,1025.67,826.59
2015-05-21,2421.41,1022.92,1037.03,1477.84,1026.08,1029.7,1028.85,824.58
