Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume
1.56869E+12,17/09/2019 4:00,ZECUSD,48.52,51.4,47.67,50.8,4961.622223
1.56861E+12,16/09/2019 4:00,ZECUSD,48.5,50.31,47.5,48.52,3909.538424
1.56852E+12,15/09/2019 4:00,ZECUSD,46.5,48.57,46.12,48.5,1138.327688
1.56843E+12,14/09/2019 4:00,ZECUSD,44.71,47,44.57,46.5,1383.750729
1.56835E+12,13/09/2019 4:00,ZECUSD,44.72,44.92,43.87,44.71,1360.679765
1.56826E+12,12/09/2019 4:00,ZECUSD,44.05,44.81,43.5,44.72,1657.37689
1.56817E+12,11/09/2019 4:00,ZECUSD,45.17,45.17,43.72,44.05,4130.286142
1.56809E+12,10/09/2019 4:00,ZECUSD,46.59,46.59,44.42,45.17,2348.400119
1.568E+12,09/09/2019 4:00,ZECUSD,47.08,47.61,45.47,46.59,1721.876478
1.56792E+12,08/09/2019 4:00,ZECUSD,48.42,48.65,47.05,47.08,1254.578844
1.56783E+12,07/09/2019 4:00,ZECUSD,45.32,48.49,45.14,48.42,759.6132673
1.56774E+12,06/09/2019 4:00,ZECUSD,45.16,45.16,45.16,45.16,0
1.56766E+12,05/09/2019 4:00,ZECUSD,45.15,45.24,44.5,45.16,1232.827905
1.56757E+12,04/09/2019 4:00,ZECUSD,45.46,46.12,44.61,45.15,2156.426323
1.56748E+12,03/09/2019 4:00,ZECUSD,46.51,47.62,44.97,45.46,2242.451544
1.5674E+12,02/09/2019 4:00,ZECUSD,45.29,47.6,44.79,46.51,2592.477843
1.56731E+12,01/09/2019 4:00,ZECUSD,45.25,45.83,44.57,45.29,615.86281
1.56722E+12,31/08/2019 4:00,ZECUSD,44.91,45.4,44.04,45.25,781.1769913
1.56714E+12,30/08/2019 4:00,ZECUSD,44.08,45.2,43.7,44.91,1149.603641
1.56705E+12,29/08/2019 4:00,ZECUSD,45.99,45.99,43.8,44.08,1871.772589
1.56696E+12,28/08/2019 4:00,ZECUSD,49.68,50.41,45.4,45.99,4013.686135
1.56688E+12,27/08/2019 4:00,ZECUSD,50.22,51.01,49.68,49.68,991.486578
1.56679E+12,26/08/2019 4:00,ZECUSD,51.55,52.41,50.07,50.22,3013.449283
1.56671E+12,25/08/2019 4:00,ZECUSD,50.25,53.98,49.39,51.55,10392.5211
1.56662E+12,24/08/2019 4:00,ZECUSD,50.74,50.9,49.05,50.25,2326.146221
1.56653E+12,23/08/2019 4:00,ZECUSD,50.96,51.6,50.17,50.74,3569.129429
1.56645E+12,22/08/2019 4:00,ZECUSD,48.83,52.82,48.83,50.96,81.60326397
1.56636E+12,21/08/2019 4:00,ZECUSD,49.62,50.17,48.23,48.83,3702.719063
1.56627E+12,20/08/2019 4:00,ZECUSD,53.12,53.18,49.31,49.62,3753.412429
1.56619E+12,19/08/2019 4:00,ZECUSD,52.6,54.54,51.88,53.12,1943.023108
1.5661E+12,18/08/2019 4:00,ZECUSD,51.28,53.48,50.44,52.6,931.4459515
1.56601E+12,17/08/2019 4:00,ZECUSD,48.98,51.39,47.43,51.28,2236.860679
1.56593E+12,16/08/2019 4:00,ZECUSD,50.43,50.53,48.27,48.98,2726.621604
1.56584E+12,15/08/2019 4:00,ZECUSD,49.08,51.1,47.73,50.43,3478.646053
1.56576E+12,14/08/2019 4:00,ZECUSD,55.68,56.11,49.08,49.08,3867.402678
1.56567E+12,13/08/2019 4:00,ZECUSD,56.81,56.92,53.78,55.68,5541.391257
1.56558E+12,12/08/2019 4:00,ZECUSD,58.92,58.92,56.62,56.81,2693.426227
1.5655E+12,11/08/2019 4:00,ZECUSD,57.62,60.5,57.15,58.92,2219.84528
1.56541E+12,10/08/2019 4:00,ZECUSD,58.47,59.2,55.56,57.62,3544.904707
1.56532E+12,09/08/2019 4:00,ZECUSD,61.61,61.93,57.94,58.47,1350.232807
1.56524E+12,08/08/2019 4:00,ZECUSD,61.63,62.08,61.61,61.61,20.996132
1.56515E+12,07/08/2019 4:00,ZECUSD,62.61,63.69,60.41,61.63,4106.883051
1.56506E+12,06/08/2019 4:00,ZECUSD,66.12,67.26,61.22,62.61,5740.17364
1.56498E+12,05/08/2019 4:00,ZECUSD,67.15,68.11,66.02,66.12,2732.279915
1.56489E+12,04/08/2019 4:00,ZECUSD,64.5,68.12,63.3,67.15,2233.24011
1.5648E+12,03/08/2019 4:00,ZECUSD,66.61,67.03,64.5,64.5,1739.808372
1.56472E+12,02/08/2019 4:00,ZECUSD,67.32,68.5,65.94,66.61,2343.614239
1.56463E+12,01/08/2019 4:00,ZECUSD,67.44,68.05,66.32,67.32,1466.34068
1.56455E+12,31/07/2019 4:00,ZECUSD,66.58,68.81,66.53,67.44,2382.684749
1.56446E+12,30/07/2019 4:00,ZECUSD,66.25,67.78,65.79,66.58,1625.999065
1.56437E+12,29/07/2019 4:00,ZECUSD,69.22,69.33,66.08,66.25,1952.589047
1.56429E+12,28/07/2019 4:00,ZECUSD,68.96,69.86,65.25,69.22,2446.119172
1.5642E+12,27/07/2019 4:00,ZECUSD,72.7,72.79,68.2,68.96,1779.080238
1.56411E+12,26/07/2019 4:00,ZECUSD,71.17,73.65,70.74,72.7,2115.946132
